1446 223
1538 559
245 2198
67 2522
1145 331
2376 254
1303 282
995 4390
1460 305
2583 609
1363 1006
2544 582
192 307
2383 952
1028 2911
1016 800
811 240
2479 250
1100 786
1848 257
808 549
1063 282
1529 296
1425 370
1943 258
978 2285
2461 475
1389 795
2822 681
2448 270
822 400
1211 626
2469 445
1862 234
2310 314
1954 502
66 1220
1993 234
27145 227
5509 394
788 235
655 451
1421 499
2030 410
1474 842
1167 441
1217 550
139 4617
3002 573
742 533
2246 308
2458 222
5546 338
1470 290
14 332
2710 272
784 459
5535 431
1124 1304
1176 355
288 810
1154 415
930 3532
5266 703
3149 357
2836 495
1151 283
1149 452
589 221
709 581
1197 275
3720 549
1614 400
550 1038
2525 271
298 710
2188 641
996 342
2045 2528
849 405
1404 392
239 4075
1915 435
6357 235
229 417
5340 322
425 1013
224 237
88 496
1595 975
1233 489
2465 413
906 423
511 437
971 803
3970 265
992 1468
744 238
721 950
2113 249
